Time (ms),AVG
5.9,-0.021741767
5.9125,-0.021642433
5.925,-0.021553212
5.9375,-0.021382116
5.95,-0.021406917
5.9625,-0.021523386
5.975,-0.021562875
5.9875,-0.021421282
6,-0.021436421
6.0125,-0.021551022
6.025,-0.021556691
6.0375,-0.02149865
6.05,-0.021295987
6.0625,-0.021385659
6.075,-0.021529764
6.0875,-0.021593023
6.1,-0.021563519
6.1125,-0.021472882
6.125,-0.021375674
6.1375,-0.021479195
6.15,-0.02145755
6.1625,-0.021494076
6.175,-0.021452783
6.1875,-0.021494462
6.2,-0.021421927
6.2125,-0.021616085
6.225,-0.021622592
6.2375,-0.021645267
6.25,-0.021606036
6.2625,-0.021577176
6.275,-0.021649519
6.2875,-0.021772237
6.3,-0.021777455
6.3125,-0.021925297
6.325,-0.021886259
6.3375,-0.021816751
6.35,-0.021627552
6.3625,-0.021815269
6.375,-0.021895213
6.3875,-0.021849669
6.4,-0.021936183
6.4125,-0.021953899
6.425,-0.021861586
6.4375,-0.021736807
6.45,-0.02161396
6.4625,-0.021667749
6.475,-0.021851344
6.4875,-0.021767277
6.5,-0.021858043
6.5125,-0.021797425
6.525,-0.021940242
6.5375,-0.021864356
6.55,-0.022154886
6.5625,-0.022246168
6.575,-0.022196887
6.5875,-0.022146125
6.6,-0.022355422
6.6125,-0.022352588
6.625,-0.022277668
6.6375,-0.022127314
6.65,-0.022096973
6.6625,-0.022074298
6.675,-0.022087954
6.6875,-0.022083059
6.7,-0.022250097
6.7125,-0.022359416
6.725,-0.022277217
6.7375,-0.02230305
6.75,-0.022167834
6.7625,-0.022130922
6.775,-0.022018446
6.7875,-0.022047306
6.8,-0.021947199
6.8125,-0.021878271
6.825,-0.021747822
6.8375,-0.021879688
6.85,-0.021605005
6.8625,-0.021490017
6.875,-0.021556627
6.8875,-0.02162111
6.9,-0.021332642
6.9125,-0.02150419
6.925,-0.021549734
6.9375,-0.021568673
6.95,-0.021445568
6.9625,-0.02154516
6.975,-0.021832662
6.9875,-0.021879946
7,-0.021957055
7.0125,-0.021899658
7.025,-0.021881105
7.0375,-0.021716321
7.05,-0.021454458
7.0625,-0.021344237
7.075,-0.021363112
7.0875,-0.021437323
7.1,-0.02155186
7.1125,-0.02165828
7.125,-0.02162169
7.1375,-0.021515399
7.15,-0.021600238
7.1625,-0.021551988
7.175,-0.021735389
7.1875,-0.02171091
7.2,-0.021843613
7.2125,-0.021824932
7.225,-0.021950549
7.2375,-0.021703051
7.25,-0.02163889
7.2625,-0.021662854
7.275,-0.021752332
7.2875,-0.021827702
7.3,-0.022022634
7.3125,-0.022107796
7.325,-0.022147542
7.3375,-0.022110566
7.35,-0.021922462
7.3625,-0.021868543
7.375,-0.021871764
7.3875,-0.022061027
7.4,-0.021914989
7.4125,-0.02193541
7.425,-0.021792658
7.4375,-0.021743442
7.45,-0.021669167
7.4625,-0.021734101
7.475,-0.021706594
7.4875,-0.021952288
7.5,-0.021771657
7.5125,-0.021882587
7.525,-0.021887096
7.5375,-0.021909063
7.55,-0.021718447
7.5625,-0.021724889
7.575,-0.021506315
7.5875,-0.02149472
7.6,-0.021762381
7.6125,-0.022027658
7.625,-0.022080868
7.6375,-0.022338673
7.65,-0.02215115
7.6625,-0.022179043
7.675,-0.022059932
7.6875,-0.021965236
7.7,-0.02206077
7.7125,-0.022331136
7.725,-0.022404831
7.7375,-0.022178012
7.75,-0.022134207
7.7625,-0.022016192
7.775,-0.021981534
7.7875,-0.021986817
7.8,-0.021931674
7.8125,-0.02164778
7.825,-0.021703566
7.8375,-0.02152242
7.85,-0.021657958
7.8625,-0.021592122
7.875,-0.021715419
7.8875,-0.021652933
7.9,-0.021828282
7.9125,-0.021815978
7.925,-0.021757163
7.9375,-0.021586195
7.95,-0.021551409
7.9625,-0.021660277
7.975,-0.021610223
7.9875,-0.021729076
8,-0.021866418
8.0125,-0.021963368
8.025,-0.021990231
8.0375,-0.021696094
8.05,-0.021791498
8.0625,-0.021716708
8.075,-0.021533371
8.0875,-0.02143204
8.1,-0.021514046
8.1125,-0.02190552
8.125,-0.021892829
8.1375,-0.022020443
8.15,-0.021905649
8.1625,-0.021925039
8.175,-0.02168321
8.1875,-0.02172096
8.2,-0.021525061
8.2125,-0.021462704
8.225,-0.021309966
8.2375,-0.021601591
8.25,-0.021614024
8.2625,-0.02182287
8.275,-0.021673547
8.2875,-0.021911318
8.3,-0.0218545
8.3125,-0.022121903
8.325,-0.022233219
8.3375,-0.022264012
8.35,-0.022142968
8.3625,-0.0222376
8.375,-0.022196887
8.3875,-0.0221067
8.4,-0.021961049
8.4125,-0.021899593
8.425,-0.02182957
8.4375,-0.021756519
8.45,-0.021771013
8.4625,-0.021952546
8.475,-0.022116492
8.4875,-0.022089887
8.5,-0.022337771
8.5125,-0.022363281
8.525,-0.022358836
8.5375,-0.022206292
8.55,-0.022309878
8.5625,-0.022008333
8.575,-0.021889351
8.5875,-0.021537945
8.6,-0.021519843
8.6125,-0.021255081
8.625,-0.021390168
8.6375,-0.021365753
8.65,-0.021523064
8.6625,-0.021635347
8.675,-0.021731202
8.6875,-0.021766826
8.7,-0.021985271
8.7125,-0.021958086
8.725,-0.022045824
8.7375,-0.022091304
8.75,-0.021966589
8.7625,-0.021834466
8.775,-0.02177082
8.7875,-0.02184181
8.8,-0.021626328
8.8125,-0.021747629
8.825,-0.021762445
8.8375,-0.021859911
8.85,-0.021726886
8.8625,-0.021704919
8.875,-0.021584134
8.8875,-0.021615634
8.9,-0.021512564
8.9125,-0.021696158
8.925,-0.021582201
8.9375,-0.021833886
8.95,-0.021697769
8.9625,-0.021763991
8.975,-0.021592186
8.9875,-0.021618018
9,-0.021395708
9.0125,-0.021487183
9.025,-0.021449691
9.0375,-0.02162607
9.05,-0.021577756
9.0625,-0.021612349
9.075,-0.021519264
9.0875,-0.021573054
9.1,-0.021555145
9.1125,-0.021863132
9.125,-0.021816235
9.1375,-0.021859009
9.15,-0.021895921
9.1625,-0.021962273
9.175,-0.021993387
9.1875,-0.021991455
9.2,-0.022076488
9.2125,-0.021884262
9.225,-0.021940499
9.2375,-0.021925168
9.25,-0.021948165
9.2625,-0.021838202
9.275,-0.021985142
9.2875,-0.021894182
9.3,-0.02202637
9.3125,-0.022042088
9.325,-0.022289328
9.3375,-0.02214606
9.35,-0.022274705
9.3625,-0.022067598
9.375,-0.022189028
9.3875,-0.022050656
9.4,-0.022110694
9.4125,-0.022112047
9.425,-0.022206679
9.4375,-0.022182328
9.45,-0.022292292
9.4625,-0.022386794
9.475,-0.022245523
9.4875,-0.022169445
9.5,-0.022098004
9.5125,-0.021936248
9.525,-0.021868672
9.5375,-0.021776553
9.55,-0.021744215
9.5625,-0.02163335
9.575,-0.021398929
9.5875,-0.021514175
9.6,-0.021546835
9.6125,-0.02177359
9.625,-0.021556627
9.6375,-0.021644494
9.65,-0.021284521
9.6625,-0.021374643
9.675,-0.02116103
9.6875,-0.021227961
9.7,-0.021213596
9.7125,-0.021277757
9.725,-0.021258882
9.7375,-0.021538525
9.75,-0.021322206
9.7625,-0.021535304
9.775,-0.021375352
9.7875,-0.021494205
9.8,-0.021390232
9.8125,-0.021496266
9.825,-0.021517267
9.8375,-0.021441123
9.85,-0.021298113
9.8625,-0.021384241
9.875,-0.021681986
9.8875,-0.021857979
9.9,-0.021902492
9.9125,-0.022016578
9.925,-0.021991519
9.9375,-0.021967233
9.95,-0.021941144
9.9625,-0.02184123
9.975,-0.021885743
9.9875,-0.021581621
10,-0.021693453
10.0125,-0.021708333
10.025,-0.021870283
10.0375,-0.021832276
10.05,-0.022032876
10.0625,-0.022078936
10.075,-0.022303372
10.0875,-0.022214087
10.1,-0.022316513
10.1125,-0.02203526
10.125,-0.022094268
10.1375,-0.02191995
10.15,-0.021994805
10.1625,-0.021899529
10.175,-0.022114624
10.1875,-0.022201976
10.2,-0.022358772
10.2125,-0.022314516
10.225,-0.022449989
10.2375,-0.022419519
10.25,-0.02244883
10.2625,-0.022261177
10.275,-0.022150956
10.2875,-0.022283015
10.3,-0.022230449
10.3125,-0.02234125
10.325,-0.022137815
10.3375,-0.022162809
10.35,-0.022013873
10.3625,-0.022039576
10.375,-0.021841423
10.3875,-0.021968586
10.4,-0.02176805
10.4125,-0.021883553
10.425,-0.021674578
10.4375,-0.021756519
10.45,-0.021590318
10.4625,-0.021686495
10.475,-0.021453492
10.4875,-0.021595793
10.5,-0.021414067
10.5125,-0.021450851
10.525,-0.021312865
10.5375,-0.021508506
10.55,-0.021430688
10.5625,-0.021525512
10.575,-0.021373419
10.5875,-0.021656863
10.6,-0.021617116
10.6125,-0.021612027
10.625,-0.021656669
10.6375,-0.021624138
10.65,-0.02148699
10.6625,-0.021245998
10.675,-0.021459741
10.6875,-0.021340243
10.7,-0.021348747
10.7125,-0.021226028
10.725,-0.021236593
10.7375,-0.021028262
10.75,-0.020919845
10.7625,-0.020922744
10.775,-0.021198908
10.7875,-0.02125521
10.8,-0.021460514
10.8125,-0.02139326
10.825,-0.021746083
10.8375,-0.021806186
10.85,-0.021964399
10.8625,-0.021709686
10.875,-0.021915376
10.8875,-0.021783317
10.9,-0.021785121
10.9125,-0.021715677
10.925,-0.021989265
10.9375,-0.022030106
10.95,-0.02215218
10.9625,-0.022080804
10.975,-0.022126219
10.9875,-0.022120551
11,-0.022248293
11.0125,-0.022300022
11.025,-0.022302019
11.0375,-0.022252287
11.05,-0.022105348
11.0625,-0.022035453
11.075,-0.021861715
11.0875,-0.021922011
11.1,-0.02192156
11.1125,-0.022020894
11.125,-0.021958472
11.1375,-0.022187289
11.15,-0.022160684
11.1625,-0.022496178
11.175,-0.022343891
11.1875,-0.022410307
11.2,-0.022113336
11.2125,-0.022377904
11.225,-0.022207001
11.2375,-0.022238502
11.25,-0.021937214
11.2625,-0.022022118
11.275,-0.021811984
11.2875,-0.021894247
11.3,-0.021629613
11.3125,-0.021723472
11.325,-0.02158394
11.3375,-0.021745052
11.35,-0.021745439
11.3625,-0.021836527
11.375,-0.021841294
11.3875,-0.02178802
11.4,-0.021630515
11.4125,-0.021518684
11.425,-0.021557464
11.4375,-0.021555725
11.45,-0.021538589
11.4625,-0.021375609
11.475,-0.021578078
11.4875,-0.021599079
11.5,-0.021622914
11.5125,-0.021493238
11.525,-0.021476683
11.5375,-0.021361437
11.55,-0.021258302
11.5625,-0.021225964
11.575,-0.021518942
11.5875,-0.021533822
11.6,-0.021694097
11.6125,-0.021499616
11.625,-0.021690296
11.6375,-0.021423924
11.65,-0.021458388
11.6625,-0.021170499
11.675,-0.021265839
11.6875,-0.021225062
11.7,-0.021237817
11.7125,-0.021215721
11.725,-0.021376576
11.7375,-0.021417224
11.75,-0.021447114
11.7625,-0.021350872
11.775,-0.021338375
11.7875,-0.021306488
11.8,-0.021243293
11.8125,-0.021432234
11.825,-0.021479002
11.8375,-0.021787762
11.85,-0.021642562
11.8625,-0.021848831
11.875,-0.021853083
11.8875,-0.022016772
11.9,-0.021926005
11.9125,-0.022058644
11.925,-0.02205684
11.9375,-0.022202685
11.95,-0.022200366
11.9625,-0.022436654
11.975,-0.022387825
11.9875,-0.022564526
12,-0.022202298
12.0125,-0.022496049
12.025,-0.022212541
12.0375,-0.022348143
12.05,-0.022160619
12.0625,-0.022289586
12.075,-0.022240434
12.0875,-0.022243977
12.1,-0.022150376
12.1125,-0.02215334
12.125,-0.02226588
