Time (ms),Iteration 1,Iteration 2,AVG
27.7,0.01265366,0.010940115,0.011796887
27.7125,0.012920999,0.011643892,0.012282446
27.725,0.012898452,0.011548874,0.012223663
27.7375,0.011982092,0.01200786,0.011994976
27.75,0.011651945,0.011552095,0.01160202
27.7625,0.011830707,0.012207558,0.012019133
27.775,0.012263925,0.012168907,0.012216416
27.7875,0.012328344,0.012809876,0.01256911
27.8,0.012515159,0.013727847,0.013121503
27.8125,0.012793771,0.013995186,0.013394479
27.825,0.012139919,0.014141739,0.013140829
27.8375,0.012199506,0.013555526,0.012877516
27.85,0.012399205,0.012560253,0.012479729
27.8625,0.01282276,0.012159244,0.012491002
27.875,0.012544148,0.012350891,0.012447519
27.8875,0.012102878,0.012296135,0.012199506
27.9,0.011165581,0.011991755,0.011578668
27.9125,0.011231611,0.012292914,0.011762262
27.925,0.011787225,0.012569915,0.01217857
27.9375,0.011801719,0.0130595,0.012430609
27.95,0.011289588,0.012062616,0.011676102
27.9625,0.011746963,0.012587631,0.012167297
27.975,0.01210932,0.012590852,0.012350086
27.9875,0.01265366,0.01336388,0.01300877
28,0.01292583,0.012668154,0.012796992
28.0125,0.012634334,0.012690701,0.012662518
28.025,0.012756731,0.01228003,0.01251838
28.0375,0.012795382,0.012371827,0.012583604
28.05,0.01295804,0.012302577,0.012630308
28.0625,0.013420246,0.012325123,0.012872685
28.075,0.012837254,0.01248295,0.012660102
28.0875,0.011957935,0.012412089,0.012185012
28.1,0.012067447,0.012642387,0.012354917
28.1125,0.012122203,0.012168907,0.012145555
28.125,0.012228495,0.011980482,0.012104488
28.1375,0.01265205,0.011666439,0.012159244
28.15,0.012956429,0.011389437,0.012172933
28.1625,0.012729352,0.011218727,0.01197404
28.175,0.012854969,0.011281535,0.012068252
28.1875,0.01197404,0.011440973,0.011707506
28.2,0.011713143,0.011608462,0.011660802
28.2125,0.011793666,0.011790446,0.011792056
28.225,0.012083552,0.011755015,0.011919284
28.2375,0.012571526,0.011547264,0.012059395
28.25,0.012893621,0.011833928,0.012363775
28.2625,0.011753405,0.012170518,0.011961961
28.275,0.012035238,0.011830708,0.011932973
28.2875,0.011640671,0.011402321,0.011521496
28.3,0.012131866,0.011595578,0.011863722
28.3125,0.011936999,0.011497339,0.011717169
28.325,0.012273588,0.012035238,0.012154413
28.3375,0.012223663,0.012056174,0.012139919
28.35,0.012096436,0.011909621,0.012003028
28.3625,0.012302577,0.012173739,0.012238158
28.375,0.012094825,0.012495834,0.012295329
28.3875,0.012062616,0.012697143,0.012379879
28.4,0.01200947,0.012647218,0.012328344
28.4125,0.012267146,0.012874295,0.012570721
28.425,0.012375048,0.012964482,0.012669765
28.4375,0.012611788,0.013508822,0.013060305
28.45,0.013294629,0.012772835,0.013033732
28.4625,0.014020953,0.013748783,0.013884868
28.475,0.013814813,0.013769719,0.013792266
28.4875,0.013566799,0.01424803,0.013907415
28.5,0.013038564,0.013880842,0.013459703
28.5125,0.013019238,0.013734289,0.013376763
28.525,0.01282276,0.013532979,0.01317787
28.5375,0.013049837,0.013557137,0.013303487
28.55,0.013073994,0.013855074,0.013464534
28.5625,0.013009575,0.014156233,0.013582904
28.575,0.012703585,0.013890505,0.013297045
28.5875,0.01265205,0.013745562,0.013198806
28.6,0.01200786,0.013520096,0.012763978
28.6125,0.011746963,0.013563579,0.012655271
28.625,0.011764678,0.013937209,0.012850943
28.6375,0.012780888,0.013755225,0.013268056
28.65,0.013405752,0.013115867,0.013260809
28.6625,0.014062826,0.013222158,0.013642492
28.675,0.013721405,0.013447624,0.013584515
28.6875,0.013019238,0.013156128,0.013087683
28.7,0.012067447,0.012531264,0.012299356
28.7125,0.01116075,0.011932167,0.011546459
28.725,0.010616409,0.011276704,0.010946557
28.7375,0.010759742,0.011389437,0.011074589
28.75,0.01136528,0.011178465,0.011271873
28.7625,0.011494118,0.011358838,0.011426478
28.775,0.012727742,0.011010976,0.011869359
28.7875,0.013080436,0.011039964,0.0120602
28.8,0.013275303,0.010832213,0.012053758
28.8125,0.011548874,0.010558432,0.011053653
28.825,0.011286367,0.010804835,0.011045601
28.8375,0.011358838,0.010745247,0.011052043
28.85,0.011548874,0.011420036,0.011484455
28.8625,0.012724521,0.0110609,0.011892711
28.875,0.013119087,0.011275094,0.01219709
28.8875,0.013354217,0.010964272,0.012159244
28.9,0.012682649,0.010780678,0.011731663
28.9125,0.012481339,0.011017418,0.011749378
28.925,0.012268757,0.011197791,0.011733274
28.9375,0.011561758,0.01224621,0.011903984
28.95,0.012107709,0.012734184,0.012420946
28.9625,0.01153438,0.013249536,0.012391958
28.975,0.012022354,0.013136803,0.012579578
28.9875,0.011569811,0.012896842,0.012233326
29,0.012387932,0.012510328,0.01244913
29.0125,0.012423362,0.012903284,0.012663323
29.025,0.012842086,0.013004744,0.012923415
29.0375,0.012796992,0.013565189,0.013181091
29.05,0.012985418,0.013719795,0.013352606
29.0625,0.012710027,0.014185222,0.013447624
29.075,0.01306111,0.014228705,0.013644907
29.0875,0.013417025,0.013766498,0.013591762
29.1,0.013684364,0.013818033,0.013751199
29.1125,0.013782603,0.01282276,0.013302682
29.125,0.013743952,0.01282437,0.013284161
29.1375,0.013597398,0.012360554,0.012978976
29.15,0.012470066,0.012974145,0.012722105
29.1625,0.011782393,0.012914557,0.012348475
29.175,0.011835539,0.012935493,0.012385516
29.1875,0.012774446,0.012911336,0.012842891
29.2,0.013563578,0.012948377,0.013255978
29.2125,0.013619945,0.013099762,0.013359853
29.225,0.013347775,0.012576357,0.012962066
29.2375,0.013589346,0.012576357,0.013082852
29.25,0.013388037,0.01221239,0.012800213
29.2625,0.013943651,0.01285497,0.01339931
29.275,0.013890505,0.013223768,0.013557137
29.2875,0.013919493,0.013758446,0.01383897
29.3,0.013660207,0.013639271,0.013649739
29.3125,0.012703585,0.012900063,0.012801824
29.325,0.012217221,0.012880737,0.012548979
29.3375,0.012452351,0.012536096,0.012494223
29.35,0.012676207,0.012376658,0.012526433
29.3625,0.012846917,0.012069058,0.012457987
29.375,0.012758341,0.012341228,0.012549784
29.3875,0.013046616,0.01109311,0.012069863
29.4,0.012394374,0.010407048,0.011400711
29.4125,0.012188233,0.010436036,0.011312134
29.425,0.012434636,0.011180076,0.011807356
29.4375,0.012610177,0.01173891,0.012174544
29.45,0.012937104,0.012123814,0.012530459
29.4625,0.012681038,0.01251838,0.012599709
29.475,0.012548979,0.012370217,0.012459598
29.4875,0.012265536,0.012716469,0.012491002
29.5,0.012690701,0.012025575,0.012358138
29.5125,0.012531264,0.012127035,0.012329149
29.525,0.012519991,0.012146361,0.012333176
29.5375,0.012025575,0.011642282,0.011833928
29.55,0.012605346,0.011972429,0.012288888
29.5625,0.012236547,0.012080331,0.012158439
29.575,0.012164076,0.012370217,0.012267146
29.5875,0.011917673,0.01217857,0.012048122
29.6,0.012147971,0.012690701,0.012419336
29.6125,0.011996586,0.012573136,0.012284861
29.625,0.012331565,0.012962871,0.012647218
29.6375,0.013104593,0.012458793,0.012781693
29.65,0.013428299,0.012576357,0.013002328
29.6625,0.013051448,0.012706806,0.012879127
29.675,0.01271969,0.012368606,0.012544148
29.6875,0.011866138,0.01261823,0.012242184
29.7,0.011829097,0.012978976,0.012404037
29.7125,0.01170509,0.013607061,0.012656076
29.725,0.012032017,0.012940325,0.012486171
29.7375,0.011579473,0.013241483,0.012410478
29.75,0.011201012,0.01309332,0.012147166
29.7625,0.011589136,0.012642387,0.012115761
29.775,0.012473287,0.012130256,0.012301771
29.7875,0.012995081,0.011489287,0.012242184
29.8,0.013098151,0.011143035,0.012120593
29.8125,0.012819539,0.011183296,0.012001418
29.825,0.01248456,0.011289588,0.011887074
29.8375,0.012296135,0.010951388,0.011623761
29.85,0.01146674,0.010229895,0.010848318
29.8625,0.011713143,0.009930347,0.010821745
29.875,0.011428089,0.009777352,0.01060272
29.8875,0.011656776,0.009482635,0.010569705
29.9,0.011323408,0.008601705,0.009962556
29.9125,0.011242884,0.009086458,0.010164671
29.925,0.010965882,0.00936507,0.010165476
29.9375,0.010771015,0.010468246,0.01061963
29.95,0.01048435,0.011104383,0.010794367
29.9625,0.010336187,0.011629398,0.010982792
29.975,0.010292704,0.011284756,0.01078873
29.9875,0.01045053,0.010964272,0.010707401
30,0.011289588,0.010614799,0.010952193
30.0125,0.011073784,0.010779067,0.010926426
30.025,0.011439362,0.010655061,0.011047211
30.0375,0.011967598,0.010629293,0.011298445
30.05,0.011362059,0.010632514,0.010997287
30.0625,0.011244495,0.011370112,0.011307303
30.075,0.012189843,0.01170509,0.011947467
30.0875,0.012759952,0.010896632,0.011828292
30.1,0.012528043,0.011023859,0.011775951
30.1125,0.012397595,0.011207454,0.011802524
30.125,0.012373437,0.011763067,0.012068252
30.1375,0.011693817,0.011384606,0.011539211
30.15,0.0117373,0.011664829,0.011701064
30.1625,0.011664828,0.011901568,0.011783198
30.175,0.012228495,0.012141529,0.012185012
30.1875,0.012565084,0.012647218,0.012606151
30.2,0.012341228,0.013201222,0.012771225
30.2125,0.012294524,0.01370369,0.012999107
30.225,0.012378269,0.013322007,0.012850138
30.2375,0.012693922,0.013497549,0.013095736
30.25,0.01306111,0.013073994,0.013067552
30.2625,0.013379984,0.01258602,0.012983002
30.275,0.01319478,0.012800213,0.012997497
30.2875,0.012941935,0.012912947,0.012927441
30.3,0.01282276,0.013608672,0.013215716
30.3125,0.013046616,0.013284966,0.013165791
30.325,0.012843696,0.013288187,0.013065942
30.3375,0.012779277,0.012544148,0.012661712
30.35,0.012407258,0.012350891,0.012379074
30.3625,0.012404037,0.012241379,0.012322708
30.375,0.012168907,0.011745352,0.01195713
30.3875,0.012611788,0.011323408,0.011967598
30.4,0.012136698,0.011766288,0.011951493
30.4125,0.011928946,0.011788835,0.011858891
30.425,0.011360449,0.011225169,0.011292809
30.4375,0.011405542,0.011302472,0.011354007
30.45,0.011611683,0.011316966,0.011464324
30.4625,0.011708311,0.011663218,0.011685765
30.475,0.011687375,0.011726027,0.011706701
30.4875,0.011326629,0.011664828,0.011495729
30.5,0.011149476,0.01149895,0.011324213
30.5125,0.011276704,0.011870969,0.011573837
30.525,0.011300861,0.011885464,0.011593162
30.5375,0.011302472,0.011946662,0.011624567
30.55,0.011205843,0.011685765,0.011445804
30.5625,0.011988534,0.011450635,0.011719585
30.575,0.01197404,0.010869254,0.011421647
30.5875,0.01170509,0.010026976,0.010866033
30.6,0.011659997,0.010217012,0.010938504
30.6125,0.011550485,0.010587421,0.011068953
30.625,0.012230105,0.010603526,0.011416815
30.6375,0.012515159,0.010682439,0.011598799
30.65,0.011494118,0.011217116,0.011355617
30.6625,0.011577863,0.011914452,0.011746158
30.675,0.011821045,0.012170518,0.011995781
30.6875,0.012201117,0.012935493,0.012568305
30.7,0.012540927,0.013339722,0.012940325
30.7125,0.012070668,0.013388037,0.012729352
30.725,0.011862917,0.012693922,0.012278419
30.7375,0.011537601,0.012758341,0.012147971
30.75,0.011967598,0.012692312,0.012329955
30.7625,0.01217696,0.012589241,0.0123831
30.775,0.012658492,0.012394374,0.012526433
30.7875,0.012853359,0.012433025,0.012643192
30.8,0.012581189,0.01255059,0.012565889
30.8125,0.012350891,0.012297745,0.012324318
30.825,0.012439467,0.012204338,0.012321902
30.8375,0.012120593,0.011775951,0.011948272
30.85,0.012563473,0.012748678,0.012656076
30.8625,0.011708311,0.012916167,0.012312239
30.875,0.012710027,0.013586125,0.013148076
30.8875,0.012404037,0.013326839,0.012865438
30.9,0.012523212,0.012536095,0.012529654
30.9125,0.012695532,0.012613398,0.012654465
30.925,0.013446014,0.013468561,0.013457287
30.9375,0.013410583,0.013851853,0.013631218
30.95,0.01360223,0.014016122,0.013809176
30.9625,0.013755225,0.013782603,0.013768914
30.975,0.013291408,0.013428299,0.013359853
30.9875,0.012698754,0.013156128,0.012927441
31,0.013735899,0.012961261,0.01334858
31.0125,0.013938819,0.013207663,0.013573241
31.025,0.014291513,0.012962871,0.013627192
31.0375,0.014273798,0.01251838,0.013396089
31.05,0.013379984,0.012751899,0.013065942
31.0625,0.013241484,0.012729352,0.012985418
31.075,0.012402426,0.012708416,0.012555421
31.0875,0.011619735,0.011763067,0.011691401
31.1,0.010672776,0.011120488,0.010896632
31.1125,0.010849928,0.010980377,0.010915152
31.125,0.011257378,0.011312134,0.011284756
31.1375,0.011730858,0.011081837,0.011406347
31.15,0.011597189,0.011249326,0.011423257
31.1625,0.012094825,0.011798498,0.011946662
